cls,x1,x2
0,0.05558898,2.098657922
0,-0.745315237,-2.849039523
0,-0.184936082,0.380728881
0,-0.980029743,0.018935206
0,0.10627565,0.902099108
0,0.405456999,0.056724918
0,0.440838714,-0.217922558
0,0.273484118,0.028137108
0,-0.802873392,0.983254169
0,-0.057622807,0.560373821
0,-0.136462625,-0.761448524
0,-0.91721433,-0.504510583
0,0.119663666,-2.629129749
0,0.110618718,0.243003753
0,0.580142494,0.161093542
0,-0.478766263,0.835184255
0,-0.358472036,-2.266627266
0,0.006101888,0.052408111
0,0.286657942,0.310924884
0,0.278705821,1.000075483
0,0.634454895,-0.091554669
0,0.02404804,0.383452575
0,0.025675752,0.536167437
0,-0.340231072,-0.000935812
0,0.169907929,0.989536659
0,0.241227409,1.293492372
0,0.28603681,0.996528874
0,-0.973330206,-0.2823966
0,-0.265551228,-2.372879264
0,0.323157865,0.456351464
0,-0.227036592,1.531217872
0,-0.129216784,-2.106908087
0,0.576646433,-0.145668178
0,0.00258017,-0.723569839
0,-0.336398942,0.191847911
0,-0.029378882,0.248630018
0,-0.821480775,0.856878211
0,0.039947129,0.327610383
0,-0.247995178,0.724483241
0,0.398064979,-2.157754013
0,-0.827727431,1.342289136
0,0.676281638,0.96887438
0,0.277614914,0.760437997
0,0.040138321,0.078632807
0,-0.408754508,-1.59775122
0,0.812926997,-1.141194608
0,0.811923512,0.446586144
0,0.35167803,0.589375031
0,-0.402738322,2.138149434
0,-0.424763229,-0.712216025
0,0.521982392,-0.576503251
0,-0.389811541,-0.910761082
0,0.642239141,0.703387689
0,0.134075317,0.614858355
0,0.482132929,1.629840798
0,-0.482549966,0.936366762
0,-0.117895445,-1.120104048
0,0.296897722,2.107499416
0,-0.397988601,-1.2498724
0,-0.285485829,0.618509581
0,0.565579698,0.47272103
0,-0.345772685,-1.27178774
0,-0.382215084,1.682788945
0,-0.160469563,-0.724189527
0,-0.309365537,0.042992166
0,-0.072000471,-0.567842597
0,-0.711629086,1.628603717
0,-0.311692926,0.62493997
0,-0.233020371,1.127388851
0,0.433947708,-0.659518901
0,0.776414786,0.863186342
0,0.360923479,0.035600316
