勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/30~2019/09/11,倉管與堆高機操作（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署自辦訓練科,(03)485-5368分機1602到1640,2019/07/30~2019/11/13,基礎木工與室內裝修工程實務（桃園） 
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/09/16~2020/02/20,雲端數據及網管系統（幼獅）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/11~2019/09/26,星級旅館實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/09~2019/12/16,服飾創意實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368  轉分機 1602到1640,2019/07/09~2019/12/16,服裝樣版設計（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/05/28~2019/12/26,電腦輔助精密機械(幼獅)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4641162分機7282~7290,2019/05/16~2019/08/29,跨平台網頁程式設計(幼獅)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/10/03~2020/05/27,產業機電控制（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/09~2019/12/16,室內裝潢木工實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/09/04~2019/12/19,烘焙食品專業（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/09/04~2019/12/19,西餐烹調專業（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/09/02~2019/12/17,銲接實務(手工電銲、氬銲與CO2銲接)（幼獅） 
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/10/22~2020/05/18,電腦輔助精密機械(幼獅)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/07/09~2019/12/16,視覺傳達設計（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/10/02~2019/12/18,時尚飲料輕食專業（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/09/24~2019/11/07,倉管與堆高機操作（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/05/15~2019/08/28,烘焙食品專業（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/08/27~2019/12/26,國際物流運籌管理實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/09/16~2020/02/20,ERP企業資訊系統設計與手機應用（幼獅）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/06/11~2019/09/24,Java系統設計（幼獅）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368分機1654,2019/10/22~2020/03/26,工業機器人工程師(桃園)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/09/24~2019/12/20,國際貿易與採購ERP實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/08/28~2019/12/12,手感人氣烘焙飲料實務(西點蛋糕)(新竹)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉分機 1602到1640,2019/10/22~2020/03/26,工業配線與工業控制整合應用（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/09~2019/12/16,室內設計實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/09~2019/10/01,電工配線與可程式控制PLC基礎（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/07/09~2019/12/16,多媒體特效後製（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/05/07~2019/08/20,電腦繪圖美編實務（苗栗）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/05/15~2019/09/12,國際物流運籌管理實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/10/03~2020/03/10,綠色科技水電自動控制（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/05/15~2019/07/24,連鎖門市經營管理實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉分機 1602到1640,2019/05/22~2019/08/14,中西茶點實務班(中式麵食)(新竹)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/09/04~2019/12/19,創意漆作實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉分機 1602到1640,2019/07/09~2019/12/16,智慧節能水電自動控制(桃園)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/09~2019/12/16,冷凍空調節能（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉分機 1602到1640,2019/07/11~2019/12/18,綠能與節能實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/05/23~2019/08/15,異國風味料理(苗栗)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/05/24~2019/08/16,電腦輔助工業繪圖(inventor)(北桃園)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/09/04~2019/12/19,手機程式開發與網頁資料庫應用（幼獅）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/07/09~2019/12/16,嵌入式Android系統（幼獅）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)464-1162分機7282到7290,2019/07/18~2019/12/25,物聯網開發與行動裝置應用(幼獅)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4641162分機7282~7290,2019/09/10~2019/12/25,跨平台網頁程式設計(幼獅)
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/07/09~2019/12/16,智慧型機器人與圖控整合應用（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/06/11~2019/07/24,倉管與堆高機操作（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉分機 1602到1640,2019/10/02~2019/12/18,民宿管理實務（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉分機 1602到1640,2019/10/03~2020/03/10,工業管路暨室內配線（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368 轉分機 1602到1640,2019/10/22~2020/03/26,可程式控制PLC工程師（桃園）
勞動力發展署桃竹苗分署,桃竹苗分署,(03)4855368轉1602到1640,2019/05/15~2019/08/28,西餐烹調專業（桃園）
