ID,Length_cm,Weight_g,Species,Scientific Name,Inspector,Measurement Date
1,45.0,2847.0,Galapagos penguin,Spheniscus mendiculus,Janet,1990/9/19
2,53.0,3625.0,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/6/21
3,83.0,3600.0,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/3/17
4,72.0,3282.0,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/25
5,87.0909090909091,5630.0,Gentoo penguin,Pygoscelis papua,Alisha,1990/9/21
6,83.0,5678.0,Gentoo penguin,Pygoscelis papua,Raymond,1990/12/20
7,99.0,5993.0,Gentoo penguin,Pygoscelis papua,Raymond,1991/6/8
8,64.0,3289.0,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/3/18
9,52.0,3014.0,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/6/22
10,69.0,5825.0,Gentoo penguin,Pygoscelis papua,Elbert,1990/9/3
11,54.0,1858.0,Galapagos penguin,Spheniscus mendiculus,Raymond,1990/9/7
12,109.0,5306.0,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/4
13,39.0,2743.0,Galapagos penguin,Spheniscus mendiculus,Janet,1990/9/26
14,70.0,4588.0,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/12/24
15,71.0,4531.0,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/3/15
16,111.0,6896.0,Gentoo penguin,Pygoscelis papua,Alisha,1990/12/3
17,77.0,4562.0,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/6/28
18,75.0,3764.0,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/12/29
19,79.0,4865.0,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/6/16
20,51.0,1153.0,Little penguin,Eudyptula minor,Charpentier,1991/6/19
21,38.0,2713.0,Galapagos penguin,Spheniscus mendiculus,Elbert,1990/12/1
22,65.0,5285.0,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/12/25
23,105.0,6445.0,Gentoo penguin,Pygoscelis papua,Bannier,1990/9/25
24,31.0,1012.0,Little penguin,Eudyptula minor,Raymond,1990/12/1
25,54.0,1175.0,Little penguin,Eudyptula minor,Charpentier,1990/12/1
26,62.0,3288.0,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/1
27,32.0,762.0,Little penguin,Eudyptula minor,Elbert,1990/9/27
28,74.0,5202.0,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/18
29,50.0,1140.0,Little penguin,Eudyptula minor,Antisthenes,1990/12/1
30,74.0,4575.0,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1990/12/9
31,107.0,8806.0,Gentoo penguin,Pygoscelis papua,Janet,1991/3/21
32,50.0,2934.0,Galapagos penguin,Spheniscus mendiculus,Bannier,1991/3/4
33,88.0,6392.0,Gentoo penguin,Pygoscelis papua,Alisha,1991/6/8
34,33.0,802.0,Little penguin,Eudyptula minor,Janet,1990/9/1
35,35.0,2396.0,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1991/6/27
36,83.0,7647.0,Gentoo penguin,Pygoscelis papua,Raymond,1991/6/22
37,82.0,3652.0,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/6/19
38,52.0,2428.0,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/6/3
39,68.0,5595.0,Gentoo penguin,Pygoscelis papua,Bannier,1990/12/12
40,51.0,3557.0,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/12/29
41,55.0,2954.0,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/20
42,64.0,4220.0,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/3/19
43,44.0,2376.0,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1990/12/3
44,78.0,3332.0,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/12/4
45,80.0,8814.0,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/31
46,105.0,5115.0,Gentoo penguin,Pygoscelis papua,Janet,1990/12/3
47,44.0,1127.0,Little penguin,Eudyptula minor,Janet,1990/9/16
48,95.0,8390.0,Gentoo penguin,Pygoscelis papua,Elbert,1990/9/18
49,43.0,998.0,Little penguin,Eudyptula minor,Alisha,1990/12/19
50,82.0,5597.0,Gentoo penguin,Pygoscelis papua,Antisthenes,1991/3/22
51,53.0,2573.0,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/7
52,37.0,3218.0,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/3/2
53,77.0,4363.075,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/9/22
54,49.0,4315.0,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/10
55,71.0,3418.0,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1991/3/29
56,64.02564102564102,5577.0,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1991/6/30
57,61.0,4356.0,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/26
58,92.0,5118.0,Gentoo penguin,Pygoscelis papua,Janet,1990/9/3
59,91.0,7620.0,Gentoo penguin,Pygoscelis papua,Janet,1991/6/16
60,82.0,3406.0,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/11
61,48.0,903.0,Little penguin,Eudyptula minor,Antisthenes,1991/6/2
62,87.0909090909091,5830.0,Gentoo penguin,Pygoscelis papua,Antisthenes,1991/3/1
63,35.0,1054.0,Little penguin,Eudyptula minor,Janet,1991/6/22
