ID,Gender,Height_cm,Weight_kg,Shoe size_cm
1,Male,175,56,28
2,Male,195,112,31
3,Male,175,90,28.5
4,Female,154,40,22.5
5,Female,154,58,22.5
6,Male,180,93,29
7,Male,177,87,28.5
8,Female,167,70,24.5
9,Male,172,77,28
10,Female,152,57,22.5
11,Male,180,91,29
12,Male,172,83,28
13,Female,172,77,25.5
14,Female,172,70,25.5
15,Male,182,95,28
16,Male,167,73,26.5
17,Male,170,82,27.5
18,Female,142,43,20.5
19,Male,172,77,27
20,Male,177,86,28.5
21,Female,152,40,22.5
22,Female,170,73,25
23,Male,180,95,29.5
24,Male,172,85,28
25,Male,175,87,28.5
26,Female,175,80,25.5
27,Male,193,102,30
28,Male,175,50,28.5
29,Male,175,86,28.5
30,Female,162,67,24
31,Female,154,61,22
32,Female,172,82,25.5
33,Male,162,75,27
34,Male,182,91,29
35,Female,149,55,22
36,Female,147,51,21
37,Female,165,74,24.5
38,Male,177,89,28.5
39,Male,175,85,29.5
40,Female,165,62,24.5
41,Male,180,40,29
42,Male,180,94,29
43,Male,172,87,28
44,Female,157,53,23
45,Female,160,65,24
46,Female,162,66,24
47,Male,170,80,28
48,Female,147,44,21
49,Male,175,88,28.5
50,Female,157,53,23
51,Female,160,62,24
52,Female,167,72,24.5
53,Male,172,40,28
54,Female,170,73,25
55,Male,180,88,29
56,Male,182,99,28
57,Male,180,89,29
58,Male,167,77,26.5
59,Female,160,63,24
60,Male,165,75,27.5
61,Female,157,66,23
62,Female,160,59,24.5
63,Male,165,70,27.5
64,Male,170,80,28
65,Male,182,92,29
66,Male,172,81,28
67,Male,175,50,28.5
68,Male,165,71,27.5
69,Female,160,60,24
70,Female,165,66,24.5
71,Male,177,75,28.5
72,Male,167,75,27
73,Female,157,54,22.5
74,Male,175,88,28.5
75,Female,157,53,23
76,Male,172,77,28
77,Male,177,92,28.5
78,Male,172,75,28.5
79,Male,170,74,28
80,Female,165,69,24.5
81,Male,167,75,27.5
82,Male,167,81,27.5
83,Female,157,57,23
84,Male,175,40,28.5
85,Male,172,81,28
86,Male,170,50,28
87,Male,175,82,28.5
88,Female,165,66,24.5
89,Female,160,60,24
90,Male,182,93,29
91,Male,170,77,28
92,Male,182,90,28.5
93,Female,162,66,24
94,Male,167,77,27.5
95,Female,167,70,24.5
96,Male,177,91,28.5
97,Female,165,66,24.5
98,Female,160,64,24
99,Male,167,83,27.5
100,Female,157,57,23
101,Female,157,53,23
102,Female,154,50,23
103,Female,157,50,23
104,Male,187,95,29.5
105,Male,157,63,26
106,Male,170,86,28
107,Male,165,70,27
108,Male,167,70,27.5
109,Male,182,101,29
110,Male,187,40,29.5
111,Female,165,63,24.5
112,Female,160,66,24
113,Male,175,50,28.5
114,Male,165,80,28
115,Female,154,54,22.5
116,Female,167,63,24
117,Female,162,70,24
118,Male,170,71,28
119,Male,180,94,29
120,Female,160,60,24
121,Female,160,57,24
122,Female,160,61,24
123,Male,172,85,28
124,Male,165,80,27.5
125,Female,157,62,23
126,Male,177,84,28.5
127,Female,160,65,23
128,Male,170,77,29
129,Female,157,72,23
130,Female,167,72,24.5
131,Male,175,79,28.5
132,Female,152,57,22.5
133,Female,175,77,26
134,Male,172,88,28
135,Male,167,71,27.5
136,Female,162,64,24
137,Female,160,64,24
138,Female,162,68,24
139,Male,177,40,28.5
140,Female,162,64,24
141,Male,182,94,29.5
142,Male,170,50,28
143,Male,177,97,29
144,Male,175,79,29
145,Male,180,95,29
146,Male,185,101,30
147,Male,182,88,29
148,Female,165,70,24.5
149,Male,180,89,29
150,Female,165,65,24.5
151,Male,170,81,28
152,Male,177,87,28.5
153,Female,160,55,24
154,Female,149,50,22
155,Female,162,63,24
156,Male,167,79,27.5
157,Male,175,81,28.5
158,Female,160,57,24.5
159,Male,170,68,28
160,Male,172,75,28
161,Female,160,59,24
162,Female,157,59,23
163,Female,162,71,24
164,Female,170,69,25
165,Male,162,74,27
166,Male,157,65,26
