109.12.20,N05,11,椰子,104,台北二,11.8,9.7,7.7,9.7,931
109.12.20,N05,22,棗子,104,台北二,93,62.6,33.8,62.9,4917
109.12.20,N05,31,釋迦,104,台北二,79.2,65.8,51.2,65.6,3166
109.12.20,N05,32,釋迦-鳳梨釋迦,104,台北二,75.8,59.2,30.2,56.7,782
109.12.20,N05,45,草莓,104,台北二,171.3,108.5,67.1,112.8,1968
109.12.20,N05,459,草莓-進口,104,台北二,501.2,233.1,131.8,266.5,335
109.12.20,N05,50,百香果-其他,104,台北二,53.1,31.3,15.2,32.5,179
109.12.20,N05,51,百香果-改良種,104,台北二,80.3,27.9,10.4,34.9,1941
109.12.20,N05,70,小番茄-其他,104,台北二,85.5,53.5,23.4,53.9,2042
109.12.20,N05,72,小番茄-聖女,104,台北二,50.9,34,22.6,35.1,4268
109.12.20,N05,74,小番茄-玉女,104,台北二,190.7,131.6,85.9,134.3,2866
109.12.20,N05,811,火龍果-白肉,104,台北二,71.9,47.6,28.6,48.7,1224
109.12.20,N05,812,火龍果-紅肉,104,台北二,69,40.4,28,43.6,4385
109.12.20,N05,839,櫻桃-進口,104,台北二,510.6,388.8,116.6,358.7,2289
109.12.20,N05,849,石榴-進口,104,台北二,86.7,86.7,86.7,86.7,420
109.12.20,N05,91,其他,104,台北二,280,253.2,250,257.9,19
109.12.20,N05,919,其他-進口,104,台北二,240,240,240,240,10
109.12.20,N05,A0,香蕉-其他,104,台北二,22.2,16.1,11.1,16.3,373
109.12.20,N05,A1,香蕉,104,台北二,24.5,20,17.1,19.9,8790
109.12.20,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,48.9,27.6,14.4,29.2,1702
109.12.20,N05,A3,香蕉-旦蕉,104,台北二,41.3,28.7,25,30.5,55
109.12.20,N05,B2,鳳梨-金鑽鳳梨,104,台北二,23,18.8,15,18.9,1688
109.12.20,N05,C0,椪柑(其他)-其他,104,台北二,103.7,59,25,61.2,819
109.12.20,N05,C1,椪柑,104,台北二,47.4,34.8,16.4,33.6,26768
109.12.20,N05,C4,紅柑-美女柑,104,台北二,42,35.3,25,34.6,144
109.12.20,N05,C6,佛利檬-佛利檬,104,台北二,41.7,28.4,14.8,28.3,2813
109.12.20,N05,C9,椪柑-進口,104,台北二,440,265,200,287,36
109.12.20,N05,D2,海梨-海梨,104,台北二,6,6,6,6,108
109.12.20,N05,E1,甜橙-柳橙,104,台北二,26,16.8,11.8,17.6,13128
